store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),update_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
b5d0a65d6d5447aa95e99312f0353326,36.0,12.07,88.72,0.0,0.53,3.85
a792089be23d435fbc18113b7cc95e11,32.0,13.57,97.5,0.0,2.97,21.03
7a242d0e309c49159755e9019d69108d,32.0,16.58,118.83,0.0,0.45,3.2
ca793240b9744551ba0b649d1a52956c,37.0,8.08,60.92,0.0,2.03,14.2
3a2313be27d9429f9906ccd142d9906c,37.0,13.05,93.57,0.0,0.05,0.43
474b6ebcd09f4270aad1d8b4bfd0d98c,33.0,11.07,80.23,0.0,2.47,17.2
be7041f08d7844c5afcc6e6b5f339119,32.0,9.57,54.75,0.0,2.47,34.28
5ff4f817e97849a1acac20f4b1a886e0,33.0,8.9,62.13,0.0,2.48,20.25
f2b972e364af41e0a7238696289e3cb5,0.0,0.0,0.0,33.0,11.53,83.43
d608c50a47254c02bbaa3771509914aa,33.0,11.05,80.15,0.0,2.48,17.28
